sensitive_attribute,group,tp,tn,fp,fn,tpr,tnr,fpr,fnr,pr,nr,accuracy
ethnicity,AMERICAN INDIAN/ALASKA NATIVE,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,ASIAN,1,0,2,0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333
ethnicity,ASIAN - CHINESE,1,1,0,0,1.0,1.0,0.0,0.0,0.5,0.5,1.0
ethnicity,BLACK/AFRICAN,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,BLACK/AFRICAN AMERICAN,9,8,6,5,0.6428571428571429,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.5357142857142857,0.4642857142857143,0.6071428571428571
ethnicity,BLACK/CAPE VERDEAN,0,0,1,1,0.0,0.0,1.0,1.0,0.5,0.5,0.0
ethnicity,HISPANIC/LATINO - COLUMBIAN,0,0,0,1,0.0,,,1.0,0.0,1.0,0.0
ethnicity,HISPANIC/LATINO - DOMINICAN,0,1,1,1,0.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
ethnicity,HISPANIC/LATINO - PUERTO RICAN,2,1,1,1,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6,0.4,0.6
ethnicity,OTHER,0,2,1,1,0.0,0.6666666666666666,0.3333333333333333,1.0,0.25,0.75,0.5
ethnicity,UNKNOWN,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,WHITE,25,12,12,4,0.8620689655172413,0.5,0.5,0.13793103448275862,0.6981132075471698,0.3018867924528302,0.6981132075471698
ethnicity,WHITE - OTHER EUROPEAN,0,1,1,0,,0.5,0.5,,0.5,0.5,0.5
gender,F,12,10,12,6,0.6666666666666666,0.45454545454545453,0.5454545454545454,0.3333333333333333,0.6,0.4,0.55
gender,M,27,18,13,8,0.7714285714285715,0.5806451612903226,0.41935483870967744,0.22857142857142856,0.6060606060606061,0.3939393939393939,0.6818181818181818
age_binned,10-20,1,1,1,0,1.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
age_binned,20-30,8,9,13,2,0.8,0.4090909090909091,0.5909090909090909,0.2,0.65625,0.34375,0.53125
age_binned,30-40,5,6,5,4,0.5555555555555556,0.5454545454545454,0.45454545454545453,0.4444444444444444,0.5,0.5,0.55
age_binned,40-50,5,5,1,5,0.5,0.8333333333333334,0.16666666666666666,0.5,0.375,0.625,0.625
age_binned,50-60,15,4,4,0,1.0,0.5,0.5,0.0,0.8260869565217391,0.17391304347826086,0.8260869565217391
age_binned,60-70,3,2,1,3,0.5,0.6666666666666666,0.3333333333333333,0.5,0.4444444444444444,0.5555555555555556,0.5555555555555556
age_binned,70-80,1,1,0,0,1.0,1.0,0.0,0.0,0.5,0.5,1.0
age_binned,80-90,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
